model,checkpoint,group,elements,exact_changed_percent,reference_l2,delta_l2,relative_l2_percent,cosine,norm_ratio,mean_abs_delta,rms_delta,max_abs_delta,share_of_total_squared_delta_percent
DINOv2,teacher_training_75712.pth,cls_token,768,100.0,0.39973614505004973,0.09356902027373656,23.407695659350765,0.985260559459414,1.1450428852478334,0.002256336750758573,0.00337638119017821,0.017711952328681946,8.298287370118421e-05
DINOv2,teacher_training_75712.pth,pos_embed,1052160,100.0,9.681227938026321,5.094423203041649,52.62166365313604,0.8953251268562586,1.175523326962101,0.0039157799909821135,0.004966542156618602,0.032582235522568226,0.24598824021237226
DINOv2,teacher_training_75712.pth,mask_token,768,100.0,0.0,0.4727602667589557,,,,0.01101622100796836,0.017059266704715147,0.09281038492918015,0.002118391592481193
DINOv2,teacher_training_75712.pth,patch_embed,452352,99.99977893322014,5.516757698006516,0.21733712516298787,3.9395807657371424,0.9992239000753153,0.9985665244597451,0.00022669192663245287,0.00032314367570904185,0.00539553165435791,0.00044770520374906407
DINOv2,teacher_training_75712.pth,blocks.0,7089408,100.0,104.84778839246103,14.531875651519,13.859973466606663,0.9904004545439692,1.0005467253074054,0.00420395361864975,0.005457788318720153,0.14080476760864258,2.0015555695594807
DINOv2,teacher_training_75712.pth,blocks.1,7089408,100.0,108.62643034101791,16.393358245125928,15.091500469693434,0.9886349546134936,1.0018414729396956,0.004762713953763474,0.006156911969274293,0.11803394556045532,2.5471831043564515
DINOv2,teacher_training_75712.pth,blocks.2,7089408,100.0,95.48526860619273,17.18418264106333,17.996684611042546,0.983966405288084,1.0080070465958302,0.005056785214528132,0.006453924705538307,0.13516229391098022,2.7988657386529554
DINOv2,teacher_training_75712.pth,blocks.3,7089408,100.0,378.15976373947035,20.465839930654596,5.411955975505196,0.9985373958173548,1.0009576424546578,0.0060211317250864205,0.007686428427059065,0.20079052448272705,3.9699355127460123
DINOv2,teacher_training_75712.pth,blocks.4,7089408,100.0,91.54464906170543,22.824927813608895,24.933109742136665,0.9698572728962538,1.0226694488701873,0.006759496038548488,0.008572439469210831,0.23917031288146973,4.937909561104136
DINOv2,teacher_training_75712.pth,blocks.5,7089408,100.0,93.1157115746444,26.03428038530423,27.959062917576865,0.9623700264414419,1.0281498692187228,0.0077217134391706285,0.00977778745019375,0.3558730185031891,6.424146876059916
