model,checkpoint,tensor,elements,exact_changed_percent,reference_l2,delta_l2,relative_l2_percent,cosine,norm_ratio,mean_abs_delta,rms_delta,max_abs_delta
DINOv2,teacher_training_75712.pth,cls_token,768,100.0,0.39973614505004973,0.09356902027373656,23.407695659350765,0.9852605594594142,1.1450428852478334,0.002256336750758573,0.00337638119017821,0.017711952328681946
DINOv2,teacher_training_75712.pth,pos_embed,1052160,100.0,9.681227938026321,5.094423203041649,52.62166365313604,0.8953251268562586,1.1755233269621013,0.0039157799909821135,0.004966542156618602,0.032582235522568226
DINOv2,teacher_training_75712.pth,mask_token,768,100.0,0.0,0.4727602667589557,,,,0.01101622100796836,0.017059266704715147,0.09281038492918015
DINOv2,teacher_training_75712.pth,patch_embed.proj.weight,451584,99.99977855725623,5.094310344763256,0.21661535654451364,4.2521036584900145,0.9990957778486633,0.9984540089805202,0.00022640126403803603,0.00032234428057219294,0.0031574564054608345
DINOv2,teacher_training_75712.pth,patch_embed.proj.bias,768,100.0,2.1172193107357185,0.017697832726226277,0.8358998350565963,0.9999653424716359,0.9992176808900327,0.00039760153214955335,0.0006386155305349818,0.00539553165435791
DINOv2,teacher_training_75712.pth,blocks.0.norm1.weight,768,100.0,25.942800841287482,0.3806193208621718,1.4671481432969384,0.9999518860115607,0.9890419499203252,0.011367265028269088,0.013734416709909216,0.048258304595947266
DINOv2,teacher_training_75712.pth,blocks.0.norm1.bias,768,100.0,6.668605887828497,0.13268805193528785,1.9897419965613707,0.9998087478992694,1.003474767156326,0.003772229807459837,0.0047879676564428425,0.01481773320119828
DINOv2,teacher_training_75712.pth,blocks.0.attn.qkv.weight,1769472,100.0,23.607932412289966,7.650501591067699,32.40648718176165,0.946258892572625,0.9668485239180029,0.004310753388223572,0.005751327022185672,0.07245932519435883
DINOv2,teacher_training_75712.pth,blocks.0.attn.qkv.bias,2304,100.0,48.33284734659305,0.7501543043150546,1.552058994033035,0.9998804230510184,0.9985578827759363,0.00800136291578419,0.015628214673230303,0.12669265270233154
DINOv2,teacher_training_75712.pth,blocks.0.attn.proj.weight,589824,100.0,9.637798227537138,4.094075250443996,42.47936254513397,0.9118192220837731,1.0207408360341288,0.004090145482835374,0.00533082714901562,0.08879482187330723
DINOv2,teacher_training_75712.pth,blocks.0.attn.proj.bias,768,100.0,4.036111777013951,0.08915363999715534,2.208899181258903,0.9998060864894763,0.9897993817022422,0.002113418539339662,0.0032170548782245387,0.02264845371246338
DINOv2,teacher_training_75712.pth,blocks.0.ls1.gamma,768,100.0,5.018033076083127,0.33329557517769276,6.64195652209311,0.998530943135736,0.9601173642386917,0.006428706746240446,0.012026768128034503,0.13431894779205322
DINOv2,teacher_training_75712.pth,blocks.0.norm2.weight,768,100.0,47.23673498037133,0.6116318057485906,1.294822358070995,0.9999173467613269,1.001452549714677,0.01718207700552436,0.022070361730867852,0.14080476760864258
DINOv2,teacher_training_75712.pth,blocks.0.norm2.bias,768,100.0,10.021818114746859,0.4005581168490858,3.9968607717962312,0.9995820430845416,0.9719822159115632,0.010789853019266124,0.01445389603680683,0.05192828178405762
